Binol,Ligand,R,S
1,1003,13.0,87.0
1,1004,32.0,68.0
52,1001,10.0,90.0
52,1022,94.0,6.0
52,1067,99.0,1.0
52,1113,36.0,64.0
52,1092,4.0,96.0
52,1025,9.0,91.0
52,1155,50.0,50.0
52,1004,32.0,68.0
52,1077,94.0,6.0
52,1078,47.0,53.0
52,1080,34.0,66.0
52,1027,9.0,91.0
52,1075,59.0,41.0
14,1036,75.0,25.0
53,1067,52.0,48.0
53,1012,62.0,38.0
54,1067,50.0,50.0
54,1002,52.0,48.0
54,1049,58.0,42.0
54,1077,54.0,46.0
54,1098,49.0,51.0
17,1067,60.0,40.0
17,1077,56.0,44.0
60,1067,68.0,32.0
60,1099,33.0,67.0
60,1077,58.0,42.0
64,1067,,
64,1077,,
72,1070,51.0,49.0
72,1077,51.0,49.0
72,1078,50.0,50.0
71,1067,57.0,43.0
71,1014,49.0,51.0
70,1067,57.0,43.0
65,1060,24.0,76.0
65,1067,50.0,50.0
65,1031,14.0,86.0
65,1149,50.0,50.0
65,1178,50.0,50.0
65,1077,50.0,50.0
65,1059,30.0,70.0
6,1001,,
6,1003,,
12,1022,87.0,13.0
3,1001,5.0,95.0
4,1092,6.0,94.0
63,1067,58.0,42.0
63,1077,62.0,38.0
