Binol,Ligand,R,S
1,1072,2.0,98.0
1,1025,18.0,82.0
1,1006,59.0,41.0
3,1002,81.0,19.0
3,1046,95.0,5.0
3,1031,27.0,73.0
3,1041,41.0,59.0
3,1044,51.0,49.0
3,1049,77.0,23.0
3,1070,73.0,27.0
3,1068,1.0,99.0
3,1059,44.0,56.0
4,1022,91.0,9.0
4,1092,7.0,93.0
6,1070,54.0,46.0
27,1022,76.0,24.0
27,1092,18.0,82.0
27,1025,20.0,80.0
27,1071,2.0,98.0
27,1117,49.0,51.0
27,1046,87.0,13.0
27,1026,42.0,58.0
27,1031,22.0,78.0
27,1009,35.0,65.0
27,1079,16.0,84.0
27,1034,30.0,70.0
27,1041,44.0,56.0
27,1049,61.0,39.0
27,1004,21.0,78.0
27,1070,61.0,39.0
27,1078,50.0,50.0
27,1059,17.0,83.0
42,1113,40.0,60.0
42,1031,14.0,86.0
42,1009,23.0,77.0
40,1022,76.0,24.0
40,1070,54.0,46.0
40,1077,52.0,48.0
40,1078,50.0,50.0
10,1070,59.0,41.0
11,1004,45.0,55.0
11,1070,60.0,40.0
13,1004,33.0,67.0
17,1048,39.0,61.0
21,1078,50.0,50.0
9,1113,35.0,65.0
9,1077,91.0,9.0
30,1031,20.0,80.0
30,1078,50.0,50.0
