Binol,Ligand,R,S
1,1001,10,90
1,1131,55,45
2,1037,51,49
3,1071,1,99
3,1026,46,54
3,1130,44,56
5,1062,50,50
6,1137,44,56
6,1172,50,50
6,1066,50,50
6,1082,56,44
26,1045,54,46
27,1134,43,57
27,1080,36,64
39,1175,49,51
35,1022,71,29
35,1141,50,50
35,1177,50,50
31,1104,37,63
31,1021,38,62
31,1160,50,50
31,1132,52,48
42,1067,55,45
42,1002,68,32
42,1092,48,52
42,1071,46,54
42,1155,49,51
42,1027,42,58
42,1075,58,42
41,1079,46,54
41,1111,44,56
41,1030,70,30
40,1001,29,71
40,1038,50,50
40,1165,49,51
40,1081,76,24
34,1135,38,62
34,1087,45,55
32,1041,26,74
32,1103,46,54
10,1022,66,34
11,1022,65,35
15,1027,30,70
21,1027,31,69
7,1071,1,99
7,1027,15,85
8,1092,16,84
9,1027,16,84
30,1061,50,50
43,1107,53,47
