Binol,Ligand,R,S
0,1071,46,54
0,1157,44,56
0,1172,55,45
0,1180,52,48
0,1186,52,48
2,1024,38,62
2,1026,45,55
2,1032,15,85
2,1034,35,65
2,1157,39,61
2,1172,60,40
2,1176,50,50
2,1185,41,59
2,1201,32,68
3,1005,31,69
3,1020,18,82
3,1071,33,67
3,1153,23,77
18,1036,69,31
20,1001,11,89
20,1024,43,57
20,1032,21,79
20,1034,36,64
20,1052,9,91
20,1073,32,68
20,1156,39,61
20,1176,42,58
20,1201,40,60
24,1011,46,54
24,1071,38,62
24,1205,38,62
25,1001,33,67
28,1064,80,20
28,1066,23,77
28,1071,33,67
28,1181,30,70
30,1181,33,67
30,1204,41,59
35,1001,14,86
35,1015,16,84
35,1151,60,40
35,1153,25,75
35,1184,90,10
56,1001,9,91
56,1017,14,86
56,1157,37,63
66,1174,11,89
66,1175,42,58
122,1071,25,75
122,1174,46,54
