Binol,Ligand,R,S
1,1002,88.0,12.0
1,1068,10.0,90.0
1,1078,46.0,54.0
1,1112,57.0,43.0
1,1053,44.0,56.0
1,1117,41.0,59.0
1,1088,50.0,50.0
1,1048,31.0,69.0
1,1092,27.0,73.0
1,1046,66.0,34.0
10,1067,81.0,19.0
10,1068,16.0,84.0
10,1114,47.0,53.0
10,1112,54.0,46.0
10,1002,59.0,41.0
10,1078,45.0,55.0
10,1077,71.0,29.0
11,1068,29.0,71.0
11,1112,51.0,49.0
11,1002,61.0,39.0
11,1048,47.0,53.0
11,1078,47.0,53.0
12,1078,41.0,59.0
12,1068,7.0,93.0
12,1048,27.0,73.0
12,1053,47.0,53.0
12,1046,63.0,37.0
13,1002,78.0,22.0
13,1067,92.0,8.0
13,1053,43.0,57.0
13,1112,54.0,46.0
13,1029,40.0,60.0
13,1077,88.0,12.0
13,1108,44.0,56.0
14,1067,84.0,16.0
14,1002,66.0,34.0
15,1068,11.0,89.0
15,1114,46.0,54.0
15,1053,46.0,54.0
15,1078,45.0,55.0
15,1067,89.0,11.0
17,1078,48.0,52.0
17,1068,13.0,87.0
20,1078,43.0,57.0
20,1067,99.0,1.0
20,1077,92.0,8.0
20,1002,63.0,37.0
20,1112,60.0,40.0
20,1068,17.0,83.0
