Binol,Ligand,R,S
0,1010,2,98
0,1017,18,82
0,1038,59,41
2,1012,81,19
2,1036,95,5
2,1066,27,73
2,1094,41,59
2,1098,51,49
2,1151,77,23
2,1154,73,27
2,1174,1,99
2,1205,44,56
3,1003,91,9
3,1014,7,93
18,1154,54,46
20,1003,76,24
20,1014,18,82
20,1017,20,80
20,1019,2,98
20,1026,49,51
20,1036,87,13
20,1040,42,58
20,1066,22,78
20,1069,35,65
20,1071,16,84
20,1075,30,70
20,1094,44,56
20,1151,61,39
20,1153,21,78
20,1154,61,39
20,1175,50,50
20,1205,17,83
24,1066,,
25,1011,40,60
25,1066,14,86
25,1069,23,77
28,1003,76,24
28,1154,54,46
28,1155,52,48
28,1175,50,50
31,1154,59,41
32,1153,45,55
32,1154,60,40
36,1153,33,67
47,1016,39,61
57,1175,50,50
66,1011,35,65
66,1155,91,9
122,1066,20,80
122,1175,50,50
