Binol,Ligand,R,S
0,1004,62,38
0,1028,56,44
0,1062,48,52
0,1077,44,56
0,1086,44,56
0,1092,41,59
0,1166,49,51
0,1187,43,57
0,1204,56,44
1,1014,49,51
2,1023,39,61
2,1028,63,37
2,1092,45,55
2,1122,49,51
2,1166,49,51
2,1177,37,63
2,1189,54,46
3,1019,2,98
3,1174,5,95
20,1028,62,38
23,1019,16,84
24,1003,73,27
24,1039,82,18
25,1062,35,65
29,1181,3,97
30,1012,68,32
30,1038,55,45
30,1039,84,16
30,1040,48,52
30,1064,72,28
30,1070,,
30,1151,79,21
30,1154,55,45
30,1184,86,14
30,1189,66,34
30,1203,94,6
31,1151,50,50
32,1151,51,49
36,1039,73,27
36,1040,49,51
44,1016,41,59
45,1003,75,25
47,1014,30,70
56,1039,62,38
57,1016,18,82
62,1181,,
66,1003,93,7
122,1003,74,26
122,1062,21,79
122,1204,82,18
