Binol,Ligand,R,S
1,1090,62.0,38.0
1,1028,56.0,44.0
1,1099,48.0,52.0
1,1010,44.0,56.0
1,1108,44.0,56.0
1,1021,41.0,59.0
1,1017,49.0,51.0
1,1080,43.0,57.0
1,1081,56.0,44.0
2,1092,49.0,51.0
3,1118,39.0,61.0
3,1028,63.0,37.0
3,1021,45.0,55.0
3,1154,49.0,51.0
3,1017,49.0,51.0
3,1058,37.0,63.0
3,1121,54.0,46.0
4,1071,2.0,98.0
4,1068,5.0,95.0
27,1028,62.0,38.0
35,1071,16.0,84.0
31,1022,73.0,27.0
31,1050,82.0,18.0
42,1099,35.0,65.0
34,1120,3.0,97.0
32,1002,68.0,32.0
32,1006,55.0,45.0
32,1050,84.0,16.0
32,1026,48.0,52.0
32,1036,72.0,28.0
32,1049,79.0,21.0
32,1070,55.0,45.0
32,1005,86.0,14.0
32,1121,66.0,34.0
32,1014,94.0,6.0
10,1049,50.0,50.0
11,1049,51.0,49.0
13,1050,73.0,27.0
13,1026,49.0,51.0
14,1048,41.0,59.0
15,1022,75.0,25.0
17,1092,30.0,70.0
20,1050,62.0,38.0
21,1048,18.0,82.0
9,1022,93.0,7.0
30,1022,74.0,26.0
30,1099,21.0,79.0
30,1081,82.0,18.0
