Index,Smiles,Type,Type_Index,Sites,conf_id,G/Hatree
802,Oc1c(-c2ccccc2)cc2ccc(-c3ccccc3)cc2c1-c1c(O)c(-c2ccccc2)cc2ccc(-c3ccccc3)cc12,Binol,802,0 25,1,-1843.52608218
803,Oc1ccc2c(-c3ccccc3)cccc2c1-c1c(O)ccc2c(-c3ccccc3)cccc12,Binol,803,0 19,0,-1381.8504942
804,COc1c(C)cc(O)c(-c2c(O)ccc3ccccc23)c1C,Binol,804,7 11,0,-959.614403324
