A,B
0.546866667,1.228049397
0.5477,1.211687922
0.548533333,1.194452246
0.549366667,1.176697512
0.5502,1.157974203
0.551033333,1.136948665
0.551866667,1.112607618
0.5527,1.082720856
0.553533333,1.045833031
0.554366667,0.999763608
0.5552,0.94354401
0.556033333,0.876108805
0.556866667,0.796002646
0.5577,0.70275118
0.558533333,0.596481065
0.559366667,0.478545825
0.5602,0.35024931
0.561033333,0.214368105
0.561866667,0.074647367
0.5627,-0.066106518
0.563533333,-0.205129385
0.564366667,-0.340119004
0.5652,-0.467973451
0.566033333,-0.585312645
0.566866667,-0.689528883
0.5677,-0.778106352
0.568533333,-0.850230455
0.569366667,-0.90572238
0.5702,-0.94469885
0.571033333,-0.967236857
0.571866667,-0.973897676
0.5727,-0.966072083
0.573533333,-0.945175687
0.574366667,-0.912268957
0.5752,-0.868437191
0.576033333,-0.816700359
0.576866667,-0.759681066
0.5777,-0.698852042
0.578533333,-0.635944307
0.579366667,-0.573143363
0.5802,-0.513198475
0.581033333,-0.457197428
0.581866667,-0.405363739
0.5827,-0.359043479
0.583533333,-0.318452716
0.584366667,-0.282985469
0.5852,-0.251881778
0.586033333,-0.224908193
0.586866667,-0.202658276
0.5877,-0.184183319
0.588533333,-0.168643892
0.589366667,-0.15579164
0.5902,-0.145586828
0.591033333,-0.137689213
0.591866667,-0.131147603
0.5927,-0.1255398
0.593533333,-0.120108326
0.594366667,-0.115056833
0.5952,-0.110832353
0.596033333,-0.107241174
0.596866667,-0.104278326
0.5977,-0.101312995
0.598533333,-0.098372499
0.599366667,-0.095660488
0.6002,-0.093201796
0.601033333,-0.090666115
0.601866667,-0.087154408
0.6027,-0.083227952
0.603533333,-0.080091258
0.604366667,-0.078228613
0.6052,-0.080086291
0.606033333,-0.093512237
0.606866667,-0.126630068
0.6077,-0.181446473
0.608533333,-0.25357306
0.609366667,-0.337339938
0.6102,-0.424678127
0.611033333,-0.501483679
0.611866667,-0.551236173
0.6127,-0.56321919
0.613533333,-0.53499639
0.614366667,-0.467215975
0.6152,-0.363471607
0.616033333,-0.231459737
0.616866667,-0.083453953
0.6177,0.067581733
0.618533333,0.210031867
0.619366667,0.33343335
0.6202,0.429935753
0.621033333,0.49551328
0.621866667,0.529746215
0.6227,0.53542604
0.623533333,0.518207749
0.624366667,0.485884647
0.6252,0.446068744
0.626033333,0.40534387
0.626866667,0.367209315
0.6277,0.334004561
0.628533333,0.306000312
0.629366667,0.282846391
0.6302,0.263574223
0.631033333,0.246929626
0.631866667,0.233404338
0.6327,0.222628315
0.633533333,0.214499732
0.634366667,0.20784388
0.6352,0.203269223
0.636033333,0.201468666
0.636866667,0.202437242
0.6377,0.205578903
0.638533333,0.210734705
0.639366667,0.219007333
0.6402,0.229902565
0.641033333,0.242526333
0.641866667,0.25553753
0.6427,0.269067784
0.643533333,0.282434126
0.644366667,0.295254091
0.6452,0.307324032
0.646033333,0.318271418
0.646866667,0.327880184
0.6477,0.335223973
0.648533333,0.341691077
0.649366667,0.347599387
0.6502,0.35293897
0.651033333,0.357774397
0.651866667,0.362788637
0.6527,0.368960202
0.653533333,0.37573278
0.654366667,0.38236628
0.6552,0.388659537
0.656033333,0.394177934
0.656866667,0.399192174
0.6577,0.40285786
0.658533333,0.403841337
0.659366667,0.400987764
0.6602,0.394324462
0.661033333,0.385416051
0.661866667,0.375305613
0.6627,0.364991526
0.663533333,0.354386866
0.664366667,0.343588491
0.6652,0.332564116
0.666033333,0.321326156
0.666866667,0.309124589
0.6677,0.295991699
0.668533333,0.28368334
0.669366667,0.273217758
0.6702,0.264808536
0.671033333,0.257688264
0.671866667,0.252194703
0.6727,0.247530639
0.673533333,0.242364903
0.674366667,0.23693343
0.6752,0.231698155
0.676033333,0.227143367
0.676866667,0.222221017
0.6777,0.217981637
0.678533333,0.215515494
0.679366667,0.214584172
0.6802,0.214348237
0.681033333,0.214084983
0.681866667,0.214276214
0.6827,0.214758019
0.683533333,0.215751429
0.684366667,0.217278798
0.6852,0.22020191
0.686033333,0.224481026
0.686866667,0.230190655
0.6877,0.236379604
0.688533333,0.242367387
0.689366667,0.248901546
0.6902,0.255336364
0.691033333,0.261751314
0.691866667,0.268715123
0.6927,0.277452171
0.693533333,0.288349887
0.694366667,0.300648312
0.6952,0.31490624
0.696033333,0.333329042
0.696866667,0.357228021
0.6977,0.389034549
0.698533333,0.433472296
0.699366667,0.496335328
0.7002,0.583556791
0.701033333,0.699577232
0.701866667,0.850200653
0.7027,1.039050519
0.703533333,1.265481114
0.704366667,1.525717477
0.7052,1.813545823
0.706033333,2.119200925
0.706866667,2.428303162
0.7077,2.724334598
0.708533333,2.992451191
0.709366667,3.219167391
0.7102,3.393006821
0.711033333,3.506292899
0.711866667,3.55591625
0.7127,3.543540835
0.713533333,3.473810852
0.714366667,3.354392946
0.7152,3.195357819
0.716033333,3.008084993
0.716866667,2.803452313
0.7177,2.590713402
0.718533333,2.377405763
0.719366667,2.170078456
0.7202,1.973072688
0.721033333,1.788814863
0.721866667,1.61793828
0.7227,1.460852722
0.723533333,1.317756871
0.724366667,1.18803978
0.7252,1.071179907
0.726033333,0.966275732
0.726866667,0.872363647
0.7277,0.789038837
0.728533333,0.71580708
0.729366667,0.652529299
0.7302,0.597176452
0.731033333,0.548534095
0.731866667,0.506569942
0.7327,0.471301377
0.733533333,0.442338487
0.734366667,0.418270628
0.7352,0.398993492
0.736033333,0.383011997
0.736866667,0.369392335
0.7377,0.357590616
0.738533333,0.34763664
0.739366667,0.33951054
0.7402,0.332397719
0.741033333,0.327500204
0.741866667,0.326144199
0.7427,0.32872955
0.743533333,0.333723923
0.744366667,0.339393814
0.7452,0.346429646
0.746033333,0.356033444
0.746866667,0.368222594
0.7477,0.382058322
0.748533333,0.398556391
0.749366667,0.41937083
0.7502,0.444379946
0.751033333,0.472334524
0.751866667,0.503920019
0.7527,0.540445248
0.753533333,0.581865509
0.754366667,0.627254446
0.7552,0.67700694
0.756033333,0.732213259
0.756866667,0.792769094
0.7577,0.859362384
0.758533333,0.932457546
0.759366667,1.013586919
0.7602,1.102524499
0.761033333,1.197350522
0.761866667,1.294915875
0.7627,1.391929885
0.763533333,1.48631384
0.764366667,1.574344933
0.7652,1.652556161
0.766033333,1.718362172
0.766866667,1.77039206
0.7677,1.806629201
0.768533333,1.824622353
0.769366667,1.824557781
0.7702,1.807366808
0.771033333,1.774700979
0.771866667,1.727220913
0.7727,1.667097211
0.773533333,1.598020395
0.774366667,1.52309984
0.7752,1.444819073
0.776033333,1.364119351
0.776866667,1.283379893
0.7777,1.204892993
0.778533333,1.129090786
0.779366667,1.05535984
0.7802,0.984119872
0.781033333,0.917216142
0.781866667,0.855388741
0.7827,0.798210502
0.783533333,0.745929778
0.784366667,0.699045757
0.7852,0.657312572
0.786033333,0.619970262
0.786866667,0.586902102
0.7877,0.557390352
0.788533333,0.530463954
0.789366667,0.506229699
0.7902,0.485159457
0.791033333,0.467052062
0.791866667,0.451167425
0.7927,0.437162817
0.793533333,0.426289936
0.794366667,0.418032209
0.7952,0.411264598
0.796033333,0.405341387
0.796866667,0.399788221
0.7977,0.39520363
0.798533333,0.390909612
0.799366667,0.387400389
0.8002,0.385515392
0.801033333,0.385490557
0.801866667,0.387296081
0.8027,0.390172005
0.803533333,0.39421767
0.804366667,0.399877628
0.8052,0.407464802
0.806033333,0.416735808
0.806866667,0.427489479
0.8077,0.440306962
0.808533333,0.455309947
0.809366667,0.471745928
0.8102,0.48802048
0.811033333,0.504009426
0.811866667,0.520500044
0.8127,0.537335873
0.813533333,0.553779304
0.814366667,0.568886598
0.8152,0.583318373
0.816033333,0.597986082
0.816866667,0.612641374
0.8177,0.626546641
0.818533333,0.638470054
0.819366667,0.648677349
0.8202,0.658427676
0.821033333,0.667927166
0.821866667,0.676728785
0.8227,0.683928529
0.823533333,0.690075258
0.824366667,0.695501765
0.8252,0.69860369
0.826033333,0.698099534
0.826866667,0.694399079
0.8277,0.689446926
0.828533333,0.684229036
0.829366667,0.678343078
0.8302,0.672015051
0.831033333,0.6657963
0.831866667,0.659344097
0.8327,0.651992857
0.833533333,0.643161436
0.834366667,0.633401175
0.8352,0.623308122
0.836033333,0.613709291
0.836866667,0.605692466
0.8377,0.599975387
0.838533333,0.596717
0.839366667,0.596190492
0.8402,0.598430634
0.841033333,0.603549182
0.841866667,0.611272951
0.8427,0.620948772
0.843533333,0.632571677
0.844366667,0.645369291
0.8452,0.658839941
0.846033333,0.671466192
0.846866667,0.682753821
0.8477,0.692469378
0.848533333,0.700669984
0.849366667,0.706650317
0.8502,0.709712505
0.851033333,0.709724923
0.851866667,0.707199176
0.8527,0.702684124
0.85355,0.696358581
0.854383333,0.688401361
0.855216667,0.679145257
0.85605,0.669802229
0.856883333,0.660762191
0.857716667,0.653199852
0.85855,0.648270051
0.859383333,0.648578008
0.860216667,0.656490525
0.86105,0.67336609
0.861883333,0.699651738
0.862716667,0.735258063
0.86355,0.780627131
0.864383333,0.835450987
0.865216667,0.899071495
0.86605,0.970683992
0.866883333,1.049600542
0.867716667,1.135239998
0.86855,1.225921015
0.869383333,1.319033404
0.870216667,1.411373417
0.87105,1.500027875
0.871883333,1.582483451
0.872716667,1.655389865
0.87355,1.716526846
0.874383333,1.765196522
0.875216667,1.80079788
0.87605,1.821989814
0.876883333,1.828071972
0.877716667,1.819893718
0.87855,1.798520486
0.879383333,1.763924956
0.880216667,1.717167596
0.88105,1.660446326
0.881883333,1.596177618
0.882716667,1.525955896
0.88355,1.450772087
0.884383333,1.373390357
0.885216667,1.29609555
0.88605,1.220690707
0.886883333,1.147836447
0.887716667,1.078682641
0.88855,1.014053822
0.889383333,0.953286886
0.890216667,0.896520913
0.89105,0.844101111
0.891883333,0.796149174
0.892716667,0.752622883
0.89355,0.713825226
0.894383333,0.679803391
0.895216667,0.649588803
0.89605,0.622160733
0.896883333,0.597881774
0.897716667,0.576493641
0.89855,0.557221472
0.899383333,0.539635619
0.900216667,0.523306429
0.90105,0.508154432
0.901883333,0.493427118
0.902716667,0.479005277
0.90355,0.464702646
0.904383333,0.451197227
0.905216667,0.438819329
0.90605,0.427486996
0.906883333,0.416624049
0.907716667,0.405522684
0.90855,0.394674639
0.909383333,0.383829077
0.910216667,0.373077889
0.91105,0.362753868
0.911883333,0.353383521
0.912716667,0.345716874
0.91355,0.339242319
0.914383333,0.333165129
0.915216667,0.3270184
0.91605,0.321010749
0.916883333,0.31602631
0.917716667,0.311717391
0.91855,0.307684143
0.919383333,0.304251909
0.920216667,0.303099553
0.92105,0.303762654
0.921883333,0.305252771
0.922716667,0.307631989
0.92355,0.312916934
0.924383333,0.322118402
0.925216667,0.333867967
0.92605,0.347629189
0.926883333,0.364723305
0.927716667,0.385679305
0.92855,0.410179297
0.929383333,0.437351565
0.930216667,0.467931231
0.93105,0.503003597
0.931883333,0.542124112
0.932716667,0.584649543
0.93355,0.628898541
0.934383333,0.674416622
0.935216667,0.72089086
0.93605,0.767283142
0.936883333,0.811894735
0.937716667,0.853478909
0.93855,0.891814629
0.939383333,0.9267355
0.940216667,0.956051052
0.94105,0.978864729
0.941883333,0.994724532
0.942716667,1.004956663
0.94355,1.009613276
0.944383333,1.007904609
0.945216667,1.000429193
0.94605,0.987711052
0.946883333,0.972044965
0.947716667,0.953773657
0.94855,0.933878124
0.949383333,0.913945337
0.950216667,0.895408293
0.95105,0.879940887
0.951883333,0.866368413
0.952716667,0.85409979
0.95355,0.842990975
0.954383333,0.833791991
0.955216667,0.827123721
0.95605,0.822049876
0.956883333,0.81760933
0.957716667,0.813541313
0.95855,0.810635587
0.959383333,0.808544457
0.960216667,0.807091594
0.96105,0.805112223
0.961883333,0.803460677
0.962716667,0.802305837
