Binol,Ligand,R,S
1,1001,10,90
1,1131,55,45
51,1037,51,49
52,1071,1,99
52,1026,46,54
52,1130,44,56
53,1062,50,50
54,1137,44,56
54,1172,50,50
54,1066,50,50
54,1082,56,44
17,1045,54,46
60,1134,43,57
60,1080,36,64
21,1175,49,51
23,1022,71,29
23,1141,50,50
23,1177,50,50
64,1104,37,63
64,1021,38,62
64,1160,50,50
64,1132,52,48
72,1067,55,45
72,1002,68,32
72,1092,48,52
72,1071,46,54
72,1155,49,51
72,1027,42,58
72,1075,58,42
71,1079,46,54
71,1111,44,56
71,1030,70,30
70,1001,29,71
70,1038,50,50
70,1165,49,51
70,1081,76,24
67,1135,38,62
67,1087,45,55
65,1041,26,74
65,1103,46,54
55,1022,66,34
56,1022,65,35
9,1027,30,70
12,1027,31,69
2,1071,1,99
2,1027,15,85
3,1092,16,84
4,1027,16,84
63,1061,50,50
73,1107,53,47
