Binol,Ligand,R,S
1,1071,2.0,98.0
1,1022,75.0,25.0
1,1118,45.0,55.0
16,1067,95.0,5.0
45,1048,40.0,60.0
45,1071,26.0,74.0
45,1117,46.0,54.0
45,1092,45.0,55.0
46,1071,35.0,65.0
46,1092,46.0,54.0
47,1071,4.0,96.0
47,1092,26.0,74.0
47,1116,57.0,43.0
47,1117,48.0,52.0
47,1118,47.0,53.0
47,1027,32.0,68.0
47,1058,46.0,54.0
47,1022,82.0,18.0
47,1072,2.0,98.0
47,1043,54.0,46.0
47,1007,47.0,53.0
47,1051,45.0,55.0
47,1076,35.0,65.0
47,1042,55.0,45.0
6,1092,37.0,63.0
6,1058,47.0,53.0
6,1117,43.0,57.0
6,1116,54.0,46.0
6,1118,49.0,51.0
6,1022,85.0,15.0
6,1027,25.0,75.0
6,1042,53.0,47.0
6,1007,44.0,56.0
6,1043,53.0,47.0
6,1063,45.0,55.0
6,1047,,
9,1002,75.0,25.0
9,1048,16.0,84.0
9,1071,9.0,91.0
9,1092,40.0,60.0
9,1118,48.0,52.0
9,1117,46.0,54.0
9,1138,52.0,48.0
10,1092,14.0,86.0
10,1048,17.0,83.0
10,1117,48.0,52.0
10,1116,56.0,44.0
10,1022,68.0,32.0
12,1002,85.0,15.0
12,1071,2.0,98.0
