Binol,Ligand,R,S
45,1071,26.0,74.0
45,1117,46.0,54.0
45,1092,45.0,55.0
46,1071,35.0,65.0
46,1092,46.0,54.0
47,1071,4.0,96.0
47,1092,26.0,74.0
47,1116,57.0,43.0
47,1117,48.0,52.0
47,1118,47.0,53.0
47,1027,32.0,68.0
47,1058,46.0,54.0
47,1022,82.0,18.0
47,1072,2.0,98.0
47,1043,54.0,46.0
47,1007,47.0,53.0
47,1051,45.0,55.0
47,1076,35.0,65.0
47,1042,55.0,45.0
6,1092,37.0,63.0
6,1058,47.0,53.0
6,1117,43.0,57.0
6,1116,54.0,46.0
6,1118,49.0,51.0
6,1022,85.0,15.0
6,1027,25.0,75.0
6,1042,53.0,47.0
6,1007,44.0,56.0
6,1043,53.0,47.0
6,1063,45.0,55.0
9,1002,75.0,25.0
9,1048,16.0,84.0
9,1071,9.0,91.0
9,1092,40.0,60.0
9,1118,48.0,52.0
9,1117,46.0,54.0
9,1138,52.0,48.0
10,1092,14.0,86.0
10,1048,17.0,83.0
10,1117,48.0,52.0
10,1116,56.0,44.0
10,1022,68.0,32.0
12,1002,85.0,15.0
12,1071,2.0,98.0
1,1001,10.0,90.0
1,1131,55.0,45.0
41,1037,51.0,49.0
42,1071,1.0,99.0
42,1026,46.0,54.0
42,1130,44.0,56.0
43,1062,50.0,50.0
44,1137,44.0,56.0
44,1172,50.0,50.0
44,1066,50.0,50.0
44,1082,56.0,44.0
19,1045,54.0,46.0
51,1134,43.0,57.0
51,1080,36.0,64.0
24,1175,49.0,51.0
28,1022,71.0,29.0
28,1141,50.0,50.0
28,1177,50.0,50.0
55,1104,37.0,63.0
55,1021,38.0,62.0
55,1160,50.0,50.0
55,1132,52.0,48.0
63,1067,55.0,45.0
63,1002,68.0,32.0
63,1092,48.0,52.0
63,1071,46.0,54.0
63,1155,49.0,51.0
63,1027,42.0,58.0
63,1075,58.0,42.0
62,1079,46.0,54.0
62,1111,44.0,56.0
62,1030,70.0,30.0
61,1001,29.0,71.0
61,1038,50.0,50.0
61,1165,49.0,51.0
61,1081,76.0,24.0
58,1135,38.0,62.0
58,1087,45.0,55.0
56,1041,26.0,74.0
56,1103,46.0,54.0
45,1022,66.0,34.0
46,1022,65.0,35.0
9,1027,30.0,70.0
12,1027,31.0,69.0
2,1071,1.0,99.0
2,1027,15.0,85.0
3,1092,16.0,84.0
4,1027,16.0,84.0
54,1061,50.0,50.0
64,1107,53.0,47.0
1,1003,13.0,87.0
1,1004,32.0,68.0
42,1001,10.0,90.0
42,1022,94.0,6.0
42,1067,99.0,1.0
42,1113,36.0,64.0
42,1092,4.0,96.0
42,1025,9.0,91.0
42,1155,50.0,50.0
42,1004,32.0,68.0
42,1077,94.0,6.0
42,1078,47.0,53.0
42,1080,34.0,66.0
42,1027,9.0,91.0
42,1075,59.0,41.0
16,1036,75.0,25.0
43,1067,52.0,48.0
43,1012,62.0,38.0
44,1067,50.0,50.0
44,1002,52.0,48.0
44,1049,58.0,42.0
44,1077,54.0,46.0
44,1098,49.0,51.0
19,1067,60.0,40.0
19,1077,56.0,44.0
51,1067,68.0,32.0
51,1099,33.0,67.0
51,1077,58.0,42.0
63,1070,51.0,49.0
63,1077,51.0,49.0
63,1078,50.0,50.0
62,1067,57.0,43.0
62,1014,49.0,51.0
61,1067,57.0,43.0
56,1060,24.0,76.0
56,1067,50.0,50.0
56,1031,14.0,86.0
56,1149,50.0,50.0
56,1178,50.0,50.0
56,1077,50.0,50.0
56,1059,30.0,70.0
12,1022,87.0,13.0
3,1001,5.0,95.0
4,1092,6.0,94.0
54,1067,58.0,42.0
54,1077,62.0,38.0
1,1072,2.0,98.0
1,1025,18.0,82.0
1,1006,59.0,41.0
42,1002,81.0,19.0
42,1046,95.0,5.0
42,1031,27.0,73.0
42,1041,41.0,59.0
42,1044,51.0,49.0
42,1049,77.0,23.0
42,1070,73.0,27.0
42,1068,1.0,99.0
42,1059,44.0,56.0
16,1022,91.0,9.0
16,1092,7.0,93.0
44,1070,54.0,46.0
51,1022,76.0,24.0
51,1092,18.0,82.0
51,1025,20.0,80.0
51,1071,2.0,98.0
51,1117,49.0,51.0
51,1046,87.0,13.0
51,1026,42.0,58.0
51,1031,22.0,78.0
51,1009,35.0,65.0
51,1079,16.0,84.0
51,1034,30.0,70.0
51,1041,44.0,56.0
51,1049,61.0,39.0
51,1004,21.0,78.0
51,1070,61.0,39.0
51,1078,50.0,50.0
51,1059,17.0,83.0
63,1113,40.0,60.0
63,1031,14.0,86.0
63,1009,23.0,77.0
61,1022,76.0,24.0
61,1070,54.0,46.0
61,1077,52.0,48.0
61,1078,50.0,50.0
45,1070,59.0,41.0
46,1004,45.0,55.0
46,1070,60.0,40.0
6,1004,33.0,67.0
49,1048,39.0,61.0
12,1078,50.0,50.0
4,1113,35.0,65.0
4,1077,91.0,9.0
54,1031,20.0,80.0
54,1078,50.0,50.0
1,1005,77.0,23.0
1,1116,57.0,43.0
1,1029,37.0,63.0
1,1069,96.0,4.0
1,1026,50.0,50.0
1,1013,47.0,53.0
1,1094,33.0,67.0
42,1112,88.0,12.0
42,1048,6.0,94.0
42,1115,8.0,92.0
42,1116,84.0,16.0
42,1131,50.0,50.0
42,1010,37.0,63.0
42,1108,39.0,61.0
42,1013,36.0,64.0
42,1119,62.0,38.0
42,1120,42.0,58.0
42,1005,96.0,4.0
16,1046,94.0,6.0
16,1070,87.0,13.0
16,1077,90.0,10.0
16,1078,50.0,50.0
44,1078,50.0,50.0
51,1006,55.0,45.0
51,1054,30.0,70.0
51,1108,42.0,58.0
51,1018,48.0,52.0
51,1058,41.0,59.0
51,1030,64.0,36.0
51,1005,96.0,4.0
51,1056,38.0,62.0
51,1121,43.0,57.0
51,1075,60.0,40.0
63,1094,41.0,59.0
63,1120,25.0,75.0
61,1059,12.0,88.0
56,1025,28.0,72.0
56,1068,37.0,63.0
56,1078,48.0,52.0
45,1046,65.0,35.0
46,1025,35.0,65.0
47,1025,18.0,82.0
6,1005,88.0,12.0
10,1070,81.0,19.0
10,1005,92.0,8.0
4,1049,74.0,26.0
4,1070,81.0,19.0
54,1046,76.0,24.0
54,1049,69.0,31.0
1,1079,46.0,54.0
1,1103,44.0,56.0
1,1098,55.0,45.0
1,1119,52.0,48.0
1,1132,52.0,48.0
42,1053,38.0,62.0
42,1117,45.0,55.0
42,1114,15.0,85.0
42,1076,35.0,65.0
42,1103,39.0,61.0
42,1098,60.0,40.0
42,1073,50.0,50.0
42,1128,41.0,59.0
42,1129,32.0,68.0
16,1060,31.0,69.0
16,1115,18.0,82.0
16,1079,33.0,67.0
16,1004,23.0,77.0
44,1046,69.0,31.0
51,1001,11.0,89.0
51,1053,43.0,57.0
51,1114,21.0,79.0
51,1076,36.0,64.0
51,1084,9.0,91.0
51,1102,32.0,68.0
51,1013,39.0,61.0
51,1073,42.0,58.0
51,1129,40.0,60.0
55,1113,46.0,54.0
55,1079,38.0,62.0
55,1059,38.0,62.0
63,1001,33.0,67.0
61,1036,80.0,20.0
61,1031,23.0,77.0
61,1079,33.0,67.0
61,1120,30.0,70.0
56,1120,33.0,67.0
56,1081,41.0,59.0
47,1001,14.0,86.0
47,1003,16.0,84.0
47,1049,60.0,40.0
47,1004,25.0,75.0
47,1005,90.0,10.0
10,1001,9.0,91.0
10,1025,14.0,86.0
10,1103,37.0,63.0
4,1068,11.0,89.0
4,1078,42.0,58.0
54,1079,25.0,75.0
54,1068,46.0,54.0
1,1047,62.0,38.0
1,1076,39.0,61.0
1,1007,44.0,56.0
1,1073,52.0,48.0
1,1024,36.0,64.0
1,1130,47.0,53.0
42,1047,86.0,14.0
42,1006,55.0,45.0
42,1009,35.0,65.0
42,1034,39.0,61.0
42,1007,39.0,61.0
42,1024,31.0,69.0
42,1081,60.0,40.0
16,1113,17.0,83.0
16,1044,47.0,53.0
44,1112,71.0,29.0
19,1071,2.0,98.0
19,1079,10.0,90.0
51,1090,76.0,24.0
51,1002,75.0,25.0
51,1116,77.0,23.0
51,1047,74.0,26.0
51,1033,52.0,48.0
51,1135,69.0,31.0
51,1037,43.0,57.0
51,1137,40.0,60.0
51,1089,39.0,61.0
51,1066,50.0,50.0
51,1098,54.0,46.0
51,1130,43.0,57.0
55,1084,29.0,71.0
55,1120,39.0,61.0
55,1080,43.0,57.0
63,1115,20.0,80.0
63,1080,36.0,64.0
58,1071,3.0,97.0
56,1080,38.0,62.0
47,1073,51.0,49.0
6,1076,42.0,58.0
6,1044,47.0,53.0
6,1073,56.0,44.0
10,1027,21.0,79.0
12,1070,71.0,29.0
12,1068,8.0,92.0
2,1092,9.0,91.0
3,1067,99.0,1.0
54,1120,23.0,77.0
54,1005,81.0,29.0
54,1080,37.0,63.0
1,1052,38.0,62.0
1,1061,48.0,52.0
1,1137,46.0,54.0
1,1153,50.0,50.0
1,1015,47.0,53.0
1,1091,36.0,64.0
42,1090,90.0,10.0
42,1050,83.0,17.0
42,1135,65.0,35.0
42,1054,35.0,65.0
42,1099,32.0,68.0
42,1137,49.0,51.0
42,1153,49.0,51.0
42,1109,51.0,49.0
42,1039,40.0,60.0
42,1066,49.0,51.0
16,1049,80.0,20.0
19,1115,6.0,94.0
19,1031,11.0,89.0
19,1009,19.0,81.0
19,1078,49.0,51.0
19,1120,10.0,90.0
19,1059,12.0,88.0
51,1035,49.0,51.0
51,1039,43.0,57.0
55,1092,41.0,59.0
55,1025,40.0,60.0
55,1099,37.0,63.0
55,1081,60.0,40.0
63,1054,37.0,63.0
63,1034,23.0,77.0
61,1092,37.0,63.0
61,1048,33.0,67.0
56,1022,84.0,16.0
56,1112,83.0,17.0
56,1115,5.0,95.0
56,1099,16.0,84.0
56,1009,32.0,68.0
56,1034,17.0,83.0
45,1005,72.0,28.0
6,1052,36.0,64.0
6,1031,42.0,58.0
6,1103,48.0,52.0
6,1120,50.0,50.0
10,1052,39.0,61.0
12,1077,74.0,26.0
12,1005,81.0,19.0
4,1005,97.0,3.0
1,1090,62.0,38.0
1,1028,56.0,44.0
1,1099,48.0,52.0
1,1010,44.0,56.0
1,1108,44.0,56.0
1,1021,41.0,59.0
1,1017,49.0,51.0
1,1080,43.0,57.0
1,1081,56.0,44.0
41,1092,49.0,51.0
42,1118,39.0,61.0
42,1028,63.0,37.0
42,1021,45.0,55.0
42,1154,49.0,51.0
42,1017,49.0,51.0
42,1058,37.0,63.0
42,1121,54.0,46.0
16,1071,2.0,98.0
16,1068,5.0,95.0
51,1028,62.0,38.0
28,1071,16.0,84.0
55,1022,73.0,27.0
55,1050,82.0,18.0
63,1099,35.0,65.0
58,1120,3.0,97.0
56,1002,68.0,32.0
56,1006,55.0,45.0
56,1050,84.0,16.0
56,1026,48.0,52.0
56,1036,72.0,28.0
56,1049,79.0,21.0
56,1070,55.0,45.0
56,1005,86.0,14.0
56,1121,66.0,34.0
56,1014,94.0,6.0
45,1049,50.0,50.0
46,1049,51.0,49.0
6,1050,73.0,27.0
6,1026,49.0,51.0
8,1048,41.0,59.0
9,1022,75.0,25.0
49,1092,30.0,70.0
10,1050,62.0,38.0
12,1048,18.0,82.0
4,1022,93.0,7.0
54,1022,74.0,26.0
54,1099,21.0,79.0
54,1081,82.0,18.0
