Binol,Ligand,R,S
1,1079,46,54
1,1103,44,56
1,1098,55,45
1,1119,52,48
1,1132,52,48
42,1053,38,62
42,1117,45,55
42,1114,15,85
42,1076,35,65
42,1103,39,61
42,1098,60,40
42,1073,50,50
42,1128,41,59
42,1129,32,68
16,1060,31,69
16,1115,18,82
16,1079,33,67
16,1004,23,77
44,1046,69,31
51,1001,11,89
51,1053,43,57
51,1114,21,79
51,1076,36,64
51,1084,9,91
51,1102,32,68
51,1013,39,61
51,1073,42,58
51,1129,40,60
55,1113,46,54
55,1079,38,62
55,1059,38,62
63,1001,33,67
61,1036,80,20
61,1031,23,77
61,1079,33,67
61,1120,30,70
56,1120,33,67
56,1081,41,59
47,1001,14,86
47,1003,16,84
47,1049,60,40
47,1004,25,75
47,1005,90,10
10,1001,9,91
10,1025,14,86
10,1103,37,63
4,1068,11,89
4,1078,42,58
54,1079,25,75
54,1068,46,54
