Binol,Ligand,R,S
1,1003,13.0,87.0
1,1004,32.0,68.0
42,1001,10.0,90.0
42,1022,94.0,6.0
42,1067,99.0,1.0
42,1113,36.0,64.0
42,1092,4.0,96.0
42,1025,9.0,91.0
42,1155,50.0,50.0
42,1004,32.0,68.0
42,1077,94.0,6.0
42,1078,47.0,53.0
42,1080,34.0,66.0
42,1027,9.0,91.0
42,1075,59.0,41.0
16,1036,75.0,25.0
43,1067,52.0,48.0
43,1012,62.0,38.0
44,1067,50.0,50.0
44,1002,52.0,48.0
44,1049,58.0,42.0
44,1077,54.0,46.0
44,1098,49.0,51.0
19,1067,60.0,40.0
19,1077,56.0,44.0
51,1067,68.0,32.0
51,1099,33.0,67.0
51,1077,58.0,42.0
55,1067,,
55,1077,,
63,1070,51.0,49.0
63,1077,51.0,49.0
63,1078,50.0,50.0
62,1067,57.0,43.0
62,1014,49.0,51.0
61,1067,57.0,43.0
56,1060,24.0,76.0
56,1067,50.0,50.0
56,1031,14.0,86.0
56,1149,50.0,50.0
56,1178,50.0,50.0
56,1077,50.0,50.0
56,1059,30.0,70.0
6,1001,,
6,1003,,
12,1022,87.0,13.0
3,1001,5.0,95.0
4,1092,6.0,94.0
54,1067,58.0,42.0
54,1077,62.0,38.0
