Binol,Ligand,R,S
1,1050,61,39
1,1031,41,59
1,1044,41,59
1,1049,52,48
1,1005,77,23
1,1128,40,60
1,1129,34,66
52,1003,4,96
52,1079,25,75
52,1042,38,62
52,1094,18,82
52,1132,51,49
60,1112,88,12
60,1113,20,80
60,1048,22,78
60,1115,6,94
60,1050,75,25
60,1036,79,21
60,1010,31,69
60,1042,38,62
60,1044,45,55
60,1068,46,54
60,1094,19,81
60,1119,53,47
60,1120,11,89
60,1132,50,50
60,1086,53,47
60,1027,22,78
60,1014,84,16
60,1081,91,9
72,1048,39,61
72,1025,38,62
72,1079,16,84
72,1004,41,59
72,1068,44,56
72,1059,35,65
65,1071,28,72
65,1046,71,29
65,1079,21,79
65,1138,29,71
55,1027,39,61
56,1027,42,58
6,1025,26,74
6,1046,71,29
6,1049,60,40
6,1070,85,15
10,1046,62,38
10,1049,50,50
3,1070,83,17
4,1046,81,19
