Binol,Ligand,Uncertainty
41,1001,2.7829378902061417
41,1022,1.0389172584614874
41,1090,5.18882491543083
41,1060,7.203796004645156
41,1112,0.9144416256960002
41,1067,0.2748025919066004
41,1072,0.1038482372929563
41,1113,0.1020902172360021
41,1002,0.0164483774571416
41,1092,0.2333385036063008
41,1003,0.0022663458725489
41,1048,0.0040541866268534
41,1025,0.3832347432941461
41,1071,0.1100140191739837
41,1115,0.0990306271939233
41,1051,5.15796941318387
41,1118,0.0332586844909243
41,1053,0.0374555236776177
41,1052,2.8211896290159726
41,1117,1.1432675960035603
41,1116,0.9513476789796724
41,1028,0.0966547373643756
41,1029,0.2262652355310066
41,1096,0.048287264848727
41,1069,0.259071296114201
41,1114,0.0668053333649231
41,1047,0.4060220161688746
41,1076,0.1435895981687094
41,1131,0.004966791583273
41,1046,0.2932125233776702
41,1023,0.0591209250382728
41,1006,0.0033346876864147
41,1050,0.0841857743404548
41,1026,0.0148199655243994
41,1033,0.1923686863995798
41,1057,2.5551340870191845
41,1106,0.015302712847243
41,1083,1.4265259898146858
41,1061,3.940625964172722
41,1123,6.865046732198163
41,1045,0.3994042765921444
41,1008,0.0009266629118488
41,1084,0.0477764206319614
41,1105,0.3201666378106578
41,1134,0.0957220018802647
41,1135,0.3462566466399435
41,1139,0.1985955408621545
41,1054,0.2456250593515128
41,1133,0.2928509932526625
41,1099,0.0010597517250856
41,1012,0.2610677879095784
41,1036,0.0156277858821507
41,1055,0.0793616081737488
41,1031,0.0588654746238936
41,1104,2.492212840462086
41,1035,0.5052786948002547
41,1009,0.0003712652120272
41,1037,13.593949418057358
41,1079,2.5660590116031923
41,1100,0.0158318776022985
41,1102,0.0575008672751817
41,1122,0.0331036936443039
41,1034,3.76949153596573
41,1101,0.1510756638095351
41,1010,3.193429115582278
41,1065,1.025076164225835
41,1110,0.8524649139168835
41,1038,1.4066563227242035
41,1126,0.1458789883767389
41,1127,0.0198509631042773
41,1064,0.0985852504631443
41,1107,0.1191668452327614
41,1040,0.0280545138270941
41,1108,0.1959114985598225
41,1138,0.0042176586721551
41,1136,0.0009447646076744
41,1021,1.190972363986553
41,1137,0.2193160711827213
41,1041,0.9551524358064029
41,1042,0.0005986513787858
41,1043,0.0379939959691291
41,1063,0.0006473109085301
41,1044,0.3501937874560211
41,1124,1.0615811436609974
41,1111,0.2214776628106938
41,1140,0.0807790063614901
41,1141,0.2860592875320088
41,1142,0.0265355145372942
41,1143,0.0237465861289772
41,1144,0.0776998613772179
41,1145,0.0152273074831101
41,1146,0.0401714824185675
41,1147,0.1913242804618983
41,1148,0.0148121486733172
41,1149,0.0470150989183591
41,1150,0.9517629582671476
41,1151,0.5665589958466806
41,1152,0.548227489915702
41,1153,0.2552289144608667
41,1154,0.0536166782404202
41,1155,0.0481204834107629
41,1156,0.066869485228883
41,1157,0.663516820508562
41,1158,0.3260088110848541
41,1159,0.0536489125776322
41,1160,0.0491186370932472
41,1161,0.2890824836044316
41,1162,0.1495794260213757
41,1163,0.151668340454644
41,1164,0.1478741716692237
41,1165,0.1895975281027345
41,1166,0.0952264882002206
41,1167,0.0920905778054778
41,1168,0.0070556308485796
41,1169,0.0062509198448431
41,1170,0.0092630856178208
41,1171,0.1171620800765596
41,1172,0.0602096700033562
