Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G,PredER,PredE,PredR
63,1005,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)(C)[C@@H]1COC(C2(C3=N[C@H](C(C)(C)C)CO3)CC2)=N1,0,2,0 31,10 20,-2309.924363,-923.5694488,62.878769362261664,81.43938468113083,-18.560615318869168
63,1115,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CC3)=N[C@H]2c2ccccc2)cc1,0,0,0 31,9 27,-2309.924363,-1532.815707,-59.20098355841885,20.399508220790576,-79.60049177920942
63,1031,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)[C@H]1COC(c2ccccn2)=N1,0,0,0 31,12 13,-2309.924363,-611.69952,-57.83589364045024,21.08205317977488,-78.91794682022513
63,1014,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)(C)[C@@H]1COC(c2nccc3ccccc23)=N1,0,1,0 31,9 18,-2309.924363,-804.4621747,54.464077215079136,77.23203860753956,-22.767961392460432
63,1050,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,0,0,0 31,10 22,-2309.924363,-1071.142417,53.12265135797647,76.56132567898824,-23.438674321011764
63,1112,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)(C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)O1)C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)O1,0,0,0 31,4 21,-2309.924363,-1534.032214,52.20780282289472,76.10390141144737,-23.89609858855264
63,1022,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)[C@@H]1COC(C(C)(C)C2=N[C@H](C(C)C)CO2)=N1,0,2,0 31,18 11,-2309.924363,-846.264983,52.00800012497912,76.00400006248955,-23.99599993751044
63,1034,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)[C@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,0,0,0 31,16 17,-2309.924363,-948.4960275,-49.89953590164951,25.050232049175246,-74.94976795082475
63,1001,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,0,3,0 31,4 13,-2309.924363,-924.7872077,-49.32345984932619,25.338270075336904,-74.66172992466309
63,1084,Oc1c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCCC2)c2ccccc2-3)cc2ccccc12,c1ccc2c(c1)C[C@H]1OC(C3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,0,0,0 31,11 22,-2309.924363,-1030.735569,-47.892505580272896,26.053747209863552,-73.94625279013644
