Binol,Ligand,Pred_Value
42,1077,70.96033304912751
3,1067,67.87251664340315
26,1067,78.62732265635513
30,1067,68.19993296114258
32,1067,71.88672232787566
27,1067,65.17182278582276
6,1067,24.09135593373789
31,1067,75.17692376823717
32,1077,63.77654443449045
3,1077,55.38766645510229
42,1070,78.2149905801979
30,1077,59.52711345540538
27,1077,53.8859955169501
6,1077,17.31804745322414
26,1077,67.34520737294194
40,1067,63.76228716563346
3,1027,-33.06804353261897
42,1078,0.8756535642678709
3,1004,-25.369871660116186
3,1025,-16.59470875380685
3,1113,-18.413473560921343
3,1001,-24.021295410900784
32,1060,-26.51395406190008
6,1002,8.47174793745836
5,1067,25.888308029742458
3,1080,-10.47417612070954
6,1098,-1.7867892292040328
3,1155,-14.476080421365376
32,1031,-0.4440894290977711
3,1075,17.36276650758653
4,1036,6.08046256915155
3,1092,-28.899165333402955
27,1099,-9.310811698280252
5,1012,0.1281342532830898
31,1077,66.74360131168868
41,1014,2.004223666198713
41,1067,33.22097326062342
6,1049,5.759081728903605
32,1059,-4.966859504849852
3,1022,34.55256394924765
3,1078,-18.887473906009127
32,1178,-4.082012480743527
32,1149,-0.5392966453004611
8,1001,-20.79323667310961
9,1092,-20.735191403465265
13,1003,-23.874900568564676
13,1001,-20.741675942250307
21,1022,51.68467744560397
1,1004,-22.14599488042509
1,1003,-24.2146998750563
