Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G,Pred_Value
2,1032,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CCCC3)=N[C@H]2c2ccccc2)cc1,0,0,12 23,9 29,-998.7155767,-1611.364108,-43.850501806597535
28,1071,COc1ccc(C(C)(C)C)cc1-c1cc2ccccc2c(-c2c(O)c(-c3cc(C(C)(C)C)ccc3OC)cc3ccccc23)c1O,c1ccc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc1,0,0,23 45,16 5,-1924.757447,-762.8325198,-22.479496785536387
2,1185,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,C[C@H]1COC(C(C)(C)C2=N[C@@H](C)CO2)=N1,0,0,12 23,9 14,-998.7155767,-689.222808,-7.701608272511239
2,1201,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,C[C@H]1COC(C(C)(Cc2ccccc2)C2=N[C@@H](C)CO2)=N1,0,0,12 23,20 15,-998.7155767,-920.0497162,-30.736691399153333
2,1157,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)(C1=N[C@@H](Cc2ccccc2)CO1)c1ccccn1,0,0,12 23,4 20,-998.7155767,-881.7938527,-12.44862873164862
2,1176,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)C2=N[C@@H]3c4ccccc4C[C@@H]3O2)cc1,0,0,12 23,26 14,-998.7155767,-1610.184387,0.17110873068677054
122,1071,Oc1c(-c2ccc(Cl)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(Cl)cc2)cc2ccccc12,c1ccc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc1,1,0,0 20,16 5,-2300.820508,-762.8325198,-46.41424941577448
2,1024,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H](c3ccccc3)CO2)C2=N[C@@H](c3ccccc3)CO2)cc1,0,0,12 23,33 22,-998.7155767,-1848.107801,-17.801010229997278
24,1071,Oc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc12,c1ccc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc1,0,0,0 27,16 5,-2729.04535,-762.8325198,-45.521992696426494
2,1172,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc(C[C@@H]2COC(CC3=N[C@H](Cc4ccccc4)CO3)=N2)cc1,0,0,12 23,11 22,-998.7155767,-1072.356973,13.368532985715824
20,1052,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,c1ccc2c(c1)C[C@H]1OC(C3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,0,0,17 35,11 22,-1610.674271,-1030.735569,-41.5942579237392
20,1176,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H]3c4ccccc4C[C@@H]3O2)C2=N[C@@H]3c4ccccc4C[C@@H]3O2)cc1,0,0,17 35,26 14,-1610.674271,-1610.184387,-11.300277853656437
3,1020,CC(C)c1cc2ccccc2c(-c2c(O)c(C(C)C)cc3ccccc23)c1O,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CC3)=N[C@H]2c2ccccc2)cc1,0,0,14 27,9 27,-1155.752613,-1532.815707,-48.59675524753807
18,1036,Oc1c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc2c1-c1c(O)c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc12,CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1,2,4,0 32,4 15,-2886.458692,-1072.360523,15.70713243152634
20,1001,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,0,3,17 35,4 13,-1610.674271,-924.7872077,-63.33866641224499
3,1071,CC(C)c1cc2ccccc2c(-c2c(O)c(C(C)C)cc3ccccc23)c1O,c1ccc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc1,0,0,14 27,16 5,-1155.752613,-762.8325198,-22.258239892455077
2,1026,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)O2)C2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)O2)cc1,0,1,12 23,14 31,-998.7155767,-1995.696517,22.328551615396446
