Binol,Ligand
1,1170
1,1174
51,1168
52,1157
14,1143
14,1118
53,1144
54,1044
17,1015
60,1060
21,1133
23,1148
23,1063
64,1068
72,1125
71,1153
70,1127
67,1145
65,1140
55,1085
56,1149
56,1113
57,1142
6,1155
8,1156
9,1124
58,1158
44,1147
44,1122
59,1162
11,1177
11,1160
10,1126
12,1139
13,1152
2,1178
3,1163
4,1006
35,1150
33,1173
36,1154
63,1136
61,1024
62,1100
66,1161
73,1166
24,1169
69,1176
69,1128
