Binol,Ligand,Pred_Value
42,1071,-48.62828331825858
3,1071,-70.039093054832
42,1027,-17.928830698575823
42,1002,51.132374410424255
42,1092,-16.973895246056756
42,1067,83.05286903697917
32,1041,-9.264491547201816
40,1001,-9.882531284240835
41,1111,-7.563494239276545
6,1172,-0.5747575666032548
35,1022,29.464677918043005
34,1135,-4.359933407250971
32,1103,-3.395589685309939
39,1175,-11.039275011435096
31,1021,2.371498127263223
3,1026,15.32521845894321
34,1087,-2.2127603913386333
6,1082,-1.827679024999252
31,1132,11.669609768607009
5,1062,-9.94312638233992
3,1130,-20.454704239048
26,1045,5.458327572145957
41,1030,11.773297642250496
27,1134,-8.501923834179227
35,1141,0.0083348755822764
41,1079,-2.533563100578084
40,1081,4.226421937687551
6,1137,-4.794367627854345
30,1061,0.7107177282259171
2,1037,5.688233096508331
42,1075,34.2329024457968
42,1155,4.75058581964745
35,1177,4.452099996894344
40,1038,8.97997333978993
31,1104,7.333570688262962
31,1160,4.188115247780575
6,1066,-0.8770309061924811
27,1080,-12.32259554163378
40,1165,-4.517219192918454
43,1107,5.706564594032737
7,1071,-83.03545680257928
7,1027,-39.3837331119616
9,1027,-25.17875748193732
8,1092,-24.358284920590062
15,1027,-30.61120786599829
10,1022,35.68844361465682
11,1022,32.6766490898852
21,1027,-31.37907239726744
1,1131,1.1820740009235529
1,1001,-21.441901385338483
