Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G,Pred_Value
19,1181,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,c1ccc([C@H]2OC(c3ccccn3)=N[C@H]2c2ccccc2)cc1,1,0,0 19,12 13,-1381.852032,-955.5810827,-62.739754300159106
2,1057,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)C[C@@H]1COC(C2=N[C@H](CC(C)C)CO2)=N1,0,0,12 23,9 17,-998.7155767,-806.9877797,8.62638862790269
2,1093,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)C[C@H]1CN(c2cccc(C(C)(C)C)c2)C(C2=N[C@@H](CC(C)C)CN2c2cccc(C(C)(C)C)c2)=N1,0,1,12 23,26 19 37 6,-998.7155767,-1543.017894,5.368458555070883
25,1059,Oc1c(-c2ccc3ccccc3c2)cc2ccccc2c1-c1c(O)c(-c2ccc3ccccc3c2)cc2ccccc12,c1ccc([C@H]2COC(C3=N[C@@H](c4ccccc4)CO3)=N2)cc1,2,0,0 23,9 19,-1688.860782,-954.5647571,-27.765500575418425
19,1066,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,CC(C)[C@H]1COC(c2ccccn2)=N1,1,0,0 19,12 13,-1381.852032,-611.69952,-68.86787992497412
19,1020,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CC3)=N[C@H]2c2ccccc2)cc1,1,0,0 19,9 27,-1381.852032,-1532.815707,-64.59916632017051
2,1039,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,0,0,12 23,10 22,-998.7155767,-1071.142417,32.16651842584045
30,1075,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,CC(C)[C@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,0,0,0 25,16 17,-1843.52349,-948.4960275,-51.830946937958615
2,1062,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc(C[C@H]2COC(c3ccccn3)=N2)cc1,0,0,12 23,14 15,-998.7155767,-764.0089485,-24.290860800999248
19,1069,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,CC(C)(C)[C@H]1COC(c2ccccn2)=N1,1,0,0 19,13 14,-1381.852032,-650.9603345,-55.98844695216089
2,1165,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)[C@H]1COC(c2cccc3c2oc2c(C4=N[C@@H](C(C)C)CO4)cccc23)=N1,0,0,12 23,17 28 13,-998.7155767,-1264.139226,-26.83979799078774
20,1165,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,CC(C)[C@H]1COC(c2cccc3c2oc2c(C4=N[C@@H](C(C)C)CO4)cccc23)=N1,0,0,17 35,17 28 13,-1610.674271,-1264.139226,-21.94818054080915
20,1068,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,CC(C)[C@@H]1COC(Cc2ccccn2)=N1,0,0,17 35,13 14,-1610.674271,-650.9622206,0.9629373002639796
30,1057,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,CC(C)C[C@@H]1COC(C2=N[C@H](CC(C)C)CO2)=N1,0,0,0 25,9 17,-1843.52349,-806.9877797,-18.645151862973748
25,1075,Oc1c(-c2ccc3ccccc3c2)cc2ccccc2c1-c1c(O)c(-c2ccc3ccccc3c2)cc2ccccc12,CC(C)[C@H]1COC(c2ccc(C(F)(F)F)cn2)=N1,2,0,0 23,16 17,-1688.860782,-948.4960275,-52.013239662435915
19,1175,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,c1ccc2c(c1)C[C@H]1OC(CC3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,1,0,0 19,12 23,-1381.852032,-1070.004928,-17.450830755236893
2,1118,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)(C)c1cc(/C=N/[C@@H]2CCCC[C@H]2/N=C/c2cc(C(C)(C)C)cc(C(C)(C)C)c2[O-])c([O-])c(C(C)(C)C)c1,0,1,12 23,8 15,-998.7155767,-1661.320129,6.366549779482646
28,1016,COc1ccc(C(C)(C)C)cc1-c1cc2ccccc2c(-c2c(O)c(-c3cc(C(C)(C)C)ccc3OC)cc3ccccc23)c1O,c1ccc([C@H]2COC(C3(C4=N[C@@H](c5ccccc5)CO4)CCCC3)=N2)cc1,0,1,23 45,24 10,-1924.757447,-1149.693678,-61.044044713949496
30,1069,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,CC(C)(C)[C@H]1COC(c2ccccn2)=N1,0,0,0 25,13 14,-1843.52349,-650.9603345,-56.70302177757219
24,1017,Oc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc12,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CC2)=N1,0,0,0 27,9 18,-2729.04535,-845.0470679,-38.99362089241425
2,1004,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,CC(C)(C1=N[C@H](Cc2ccccc2)CO1)C1=N[C@H](Cc2ccccc2)CO1,0,0,12 23,16 4,-998.7155767,-1150.888196,41.10129348810238
2,1164,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,c1ccc(C[C@@H]2COC(c3cccc4c3oc3c(C5=N[C@H](Cc6ccccc6)CO5)cccc34)=N2)cc1,0,0,12 23,34 19 15,-998.7155767,-1568.762289,9.325680763845181
24,1204,Oc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc2c1-c1c(O)c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc2ccccc12,c1ccc2c(c1)C[C@@H]1OC(c3nccc4ccccc34)=N[C@H]21,0,0,0 27,11 20,-2729.04535,-916.3345383,1.7238285344898816
