Binol,Ligand,Pred_Value
1,1090,29.33412963
1,1021,-2.891143889
1,1081,14.78255543
1,1017,-5.934952146
1,1080,-7.790732326
1,1028,3.148656054
1,1108,-12.10869672
1,1099,-7.746490514
1,1010,-9.119587226
2,1092,-35.95920393
3,1021,-16.94778734
3,1154,-11.07767226
3,1028,22.30536923
3,1017,-5.151212574
3,1118,-26.24014141
3,1121,2.474086442
3,1058,-32.78370343
4,1071,-78.97334465
4,1068,-72.4407013
27,1028,12.57903977
35,1071,-27.09420849
31,1022,63.65286701
31,1050,43.05308359
42,1099,-44.37916269
34,1120,-57.21432167
32,1050,42.43344883
32,1002,47.78810084
32,1026,12.53680732
32,1049,45.23076625
32,1005,60.78827524
32,1121,-15.55155825
32,1014,0.71003185
32,1036,3.308388704
32,1070,9.437834579
32,1006,19.48510323
32,1037,-21.03397334
10,1049,18.38843584
11,1049,18.05816912
13,1050,12.2263002
13,1026,7.027670104
14,1048,-37.72046113
15,1022,59.05308414
17,1092,-26.80069409
20,1050,6.826645274
21,1048,-39.75542716
7,1120,-17.34343805
9,1022,64.17567536
30,1099,-49.04012814
30,1022,53.56027778
30,1081,-5.728688281
