Binol,Ligand,Pred_Value
3,1047,59.71219013299968
27,1047,33.50809188042606
30,1120,-37.197499338047386
31,1120,-28.323140282945435
3,1007,-38.94769321493959
31,1080,-24.501077678262224
30,1080,-34.48098358100729
26,1071,-37.11806983566782
6,1112,18.69610073105888
42,1080,-37.00831613396206
27,1130,-19.82110182588798
27,1037,-18.447328451656094
30,1005,55.19085874495216
42,1115,-17.25275976030828
27,1002,42.5782182458172
27,1090,-0.9370794279582014
3,1006,18.50463531035873
27,1033,18.447027277744183
3,1034,-28.515400131864805
27,1066,-4.915248349619152
27,1098,12.770954222497869
31,1084,-35.385730685515256
27,1135,-29.432294111178976
27,1137,7.203136135972709
3,1081,10.683120706083358
27,1116,35.41931159323885
26,1079,-50.5057134561217
34,1071,-55.34317365681681
32,1080,-35.10585571152031
4,1113,-34.73267350643294
27,1089,-31.026442543545866
4,1044,-15.886829541861497
3,1009,-31.97177296653397
3,1024,-40.005870282735
8,1067,74.89944076695028
7,1092,-81.79245585674155
13,1073,-7.106091045674988
14,1092,-33.24230171297451
13,1044,-6.166394437270817
12,1073,-4.389754583325094
13,1076,-27.16643030118779
21,1070,62.5195251360628
21,1068,-62.45560359434756
20,1027,-50.72268606125877
1,1047,28.79303273518368
1,1073,-4.560753812634096
1,1076,-27.30674000981126
1,1007,-19.35596202623849
1,1130,-5.240004895970825
1,1024,-30.330155879933944
